,City,Cloudiness,Max Temp,Latitutde,Longitude,Humidity,Wind Speed,Country,Date
67,touros,40,87.8,-5.2,-35.46,66,13.87,BR,-10800
68,tuktoyaktuk,90,8.6,69.45,-133.04,84,8.05,CA,-21600
69,margate,0,55.99,51.38,1.39,63,26.28,GB,3600
70,mataura,51,39.99,-46.19,168.86,95,1.01,NZ,43200
71,saskylakh,15,19.56,71.92,114.08,97,9.24,RU,32400
72,lebu,45,61.21,-37.62,-73.65,57,16.04,CL,-14400
73,laguna,90,60.01,38.42,-121.42,71,9.17,US,-25200
74,celestun,33,87.76,20.87,-90.4,57,8.52,MX,-18000
75,sao filipe,2,71.94,14.9,-24.5,77,18.37,CV,-3600
76,srednekolymsk,89,4.6,67.45,153.68,92,8.3,RU,39600
77,mahebourg,75,75.2,-20.41,57.7,88,12.75,MU,14400
78,leh,100,34.7,34.17,77.58,18,0.76,IN,19800
79,dourbali,46,90.79,11.81,15.86,10,5.79,TD,3600
80,barrow,90,-0.4,71.29,-156.79,91,9.17,US,-28800
81,lompoc,75,60.8,34.64,-120.46,63,5.82,US,-25200
82,afrikanda,100,31.82,67.44,32.78,90,8.14,RU,10800
83,carnarvon,0,69.8,-24.87,113.63,68,14.99,AU,28800
84,yulara,84,73.4,-25.24,130.99,49,9.17,AU,34200
85,port hardy,90,48.2,50.7,-127.42,93,4.7,CA,-25200
86,coos bay,90,53.01,43.37,-124.22,81,3.36,US,-25200
87,nizhniy kuranakh,49,10.09,58.84,125.49,89,3.04,RU,32400
88,serpa,40,57.2,37.95,-7.6,76,8.05,PT,3600
89,kodiak,90,42.8,57.79,-152.41,87,4.7,US,-28800
90,balkanabat,0,75.47,39.51,54.37,30,2.48,TM,18000
91,dikson,100,31.71,73.51,80.55,97,22.28,RU,25200
92,lastoursville,100,76.1,-0.81,12.73,82,3.22,GA,3600
93,ambulu,71,78.89,-8.35,113.61,80,2.89,ID,25200
94,paamiut,9,30.72,61.99,-49.67,86,0.83,GL,-7200
95,ulukulevo,60,44.01,54.44,56.32,81,4.47,RU,18000
96,kapaa,10,64.99,22.08,-159.32,59,3.65,US,-36000
97,torbay,75,42.01,47.67,-52.73,80,34.45,CA,-9000
98,busselton,19,63.0,-33.65,115.33,64,10.83,AU,28800
99,bermeo,40,62.6,43.42,-2.72,77,6.93,ES,7200
100,yellowknife,20,14.0,62.46,-114.35,56,10.29,CA,-21600
101,vozhega,34,29.82,60.47,40.22,97,3.62,RU,10800
102,aklavik,90,10.4,68.22,-135.01,72,6.93,CA,-21600
103,palmer,75,52.0,42.16,-72.33,36,8.05,US,-14400
104,bima,50,76.35,-8.47,118.72,84,3.0,ID,28800
105,hambantota,51,82.83,6.12,81.12,81,12.71,LK,19800
106,chernyshevskiy,90,19.2,63.01,112.47,94,3.91,RU,32400
107,morondava,8,80.22,-20.28,44.28,74,5.7,MG,10800
108,dhidhdhoo,96,86.31,6.88,73.1,71,7.56,MV,18000
109,hilo,1,71.01,19.73,-155.09,64,6.93,US,-36000
110,dvorichna,40,41.92,49.85,37.69,64,8.25,UA,10800
111,shimoda,49,55.99,34.67,138.95,95,19.53,JP,32400
112,ibipeba,78,80.92,-11.64,-42.01,53,7.94,BR,-10800
113,tanete,43,77.2,-3.94,119.78,82,4.63,ID,28800
114,lethem,70,91.56,3.38,-59.8,47,11.63,GY,-14400
115,eureka,90,55.0,40.8,-124.16,76,4.7,US,-25200
116,nikolskoye,91,46.0,59.7,30.79,56,6.71,RU,10800
117,miri,75,78.8,4.41,114.01,100,3.36,MY,28800
118,ciudad bolivar,58,96.4,8.12,-63.55,32,6.46,VE,-14400
119,santa maria,0,83.93,-29.68,-53.81,32,1.83,BR,-10800
120,iqaluit,75,3.2,63.75,-68.51,59,17.22,CA,-14400
121,north bay,40,41.0,46.32,-79.47,51,18.34,CA,-14400
122,rurrenabaque,1,89.6,-14.44,-67.53,52,5.82,BO,-14400
123,umm lajj,0,76.89,25.02,37.27,52,6.8,SA,10800
124,saldanha,100,62.6,-33.01,17.94,82,6.93,ZA,7200
125,korla,87,55.0,41.76,86.15,50,1.01,CN,28800
126,katsuura,75,52.0,35.13,140.3,93,2.24,JP,32400
127,abha,40,62.6,18.22,42.51,59,6.93,SA,10800
128,ibra,13,86.2,22.69,58.53,24,7.92,OM,14400
129,jinsha,100,53.01,32.09,121.07,81,4.85,CN,28800
130,lewisporte,75,39.0,49.25,-55.05,96,21.92,CA,-9000
131,flinders,91,57.99,-34.58,150.86,73,1.99,AU,36000
132,bafra,75,53.6,41.57,35.91,81,13.87,TR,10800
133,amapa,100,76.33,1.0,-52.0,93,2.82,BR,-10800
134,vostok,100,29.52,46.49,135.88,79,6.11,RU,36000
135,thompson,90,19.4,55.74,-97.86,62,6.93,CA,-18000
136,agadez,2,88.5,19.75,10.25,10,2.28,NE,3600
137,pangnirtung,90,14.0,66.15,-65.71,85,2.24,CA,-14400
138,marzuq,83,70.45,14.4,46.47,56,12.33,YE,10800
139,port elizabeth,6,64.4,-33.92,25.57,77,8.05,ZA,7200
140,panzhihua,0,65.08,26.59,101.71,27,2.35,CN,28800
141,port blair,6,84.18,11.67,92.75,73,7.81,IN,19800
142,najran,75,68.0,17.49,44.13,82,9.17,SA,10800
143,porto seguro,75,80.6,-16.45,-39.06,69,9.17,BR,-10800
144,hamilton,1,62.01,39.18,-84.53,36,5.82,US,-14400
145,grindavik,90,46.4,63.84,-22.43,100,28.86,IS,0
146,upernavik,95,30.0,72.79,-56.15,92,8.5,GL,-7200
147,sassenberg,0,62.01,52.0,8.05,31,13.87,DE,7200
148,la ronge,20,24.8,55.1,-105.28,41,5.82,CA,-21600
149,saint-philippe,65,77.0,-21.36,55.77,73,23.04,RE,14400
150,bandarbeyla,70,82.96,9.49,50.81,78,14.63,SO,10800
151,san patricio,90,77.0,19.22,-104.7,73,5.28,MX,-18000
152,urucara,47,89.33,-2.54,-57.76,60,2.82,BR,-14400
153,malanville,50,99.86,11.87,3.39,23,1.12,BJ,3600
154,nhulunbuy,1,77.0,-12.23,136.77,94,8.1,AU,34200
155,constitucion,96,69.03,-35.33,-72.42,40,15.12,CL,-14400
156,requena,93,60.01,39.49,-1.1,62,5.99,ES,7200
157,atar,0,89.37,20.52,-13.05,11,13.58,MR,0
158,san ignacio,23,95.0,17.16,-89.07,50,4.7,BZ,-21600
159,wrexham,0,61.0,53.0,-3.0,71,20.8,GB,3600
160,khed brahma,46,83.39,24.03,73.05,27,4.65,IN,19800
161,ketchikan,90,46.4,55.34,-131.65,93,13.87,US,-28800
162,whyalla,63,50.0,-33.03,137.58,87,5.82,AU,34200
163,sao jose da coroa grande,11,83.05,-8.9,-35.15,75,11.63,BR,-10800
164,khatanga,69,24.44,71.97,102.5,94,8.37,RU,25200
165,harwich,0,55.0,51.94,1.28,71,11.99,GB,3600
166,honningsvag,40,39.2,70.98,25.97,64,29.97,NO,7200
167,petit-bourg,13,84.2,16.19,-61.59,58,17.22,GP,-14400
168,lagoa,97,58.46,39.05,-27.98,61,7.2,PT,0
169,pizhanka,85,39.9,57.46,48.54,75,5.77,RU,10800
170,esperance,0,59.0,-33.87,121.9,72,12.75,AU,28800
171,urengoy,99,33.53,65.97,78.37,95,12.1,RU,18000
172,iranshahr,75,86.0,27.2,60.68,30,9.17,IR,16200
173,tiksi,100,22.21,71.69,128.87,95,4.52,RU,32400
174,beringovskiy,92,10.92,63.05,179.32,94,12.62,RU,43200
175,praia da vitoria,40,60.8,38.73,-27.07,63,6.17,PT,0
176,havoysund,40,39.2,71.0,24.66,64,29.97,NO,7200
177,rusape,3,54.09,-18.53,32.13,55,4.85,ZW,7200
178,whitehorse,90,46.4,60.72,-135.05,56,8.05,CA,-25200
179,quatre cocos,75,75.2,-20.21,57.76,88,12.75,MU,14400
180,pevek,93,0.81,69.7,170.31,93,4.12,RU,43200
181,puerto ayacucho,75,82.4,5.66,-67.62,78,4.7,VE,-14400
182,martaban,3,80.15,16.53,97.61,75,4.0,MM,23400
183,nongstoin,100,61.38,25.52,91.27,55,0.85,IN,19800
184,orvault,100,60.8,47.27,-1.62,87,5.82,FR,7200
185,mantua,100,62.6,45.17,10.78,48,16.11,IT,7200
186,srandakan,100,80.89,-7.94,110.25,81,5.64,ID,25200
187,castro,0,74.57,-24.79,-50.01,30,2.1,BR,-10800
188,yuksekova,40,60.8,37.57,44.29,41,9.17,TR,10800
189,jamestown,1,48.99,42.1,-79.24,45,5.82,US,-14400
190,maragogi,4,83.3,-9.01,-35.22,73,11.92,BR,-10800
191,lisala,63,73.27,2.15,21.52,81,1.77,CD,3600
192,ajdabiya,0,84.11,30.76,20.23,15,15.5,LY,7200
193,nacogdoches,75,72.0,31.6,-94.63,73,3.36,US,-18000
194,los llanos de aridane,20,71.6,28.66,-17.92,68,10.29,ES,3600
195,isangel,96,79.34,-19.55,169.27,82,4.68,VU,39600
196,arraial do cabo,20,78.8,-22.97,-42.03,65,9.17,BR,-10800
197,mizan teferi,58,68.94,6.98,35.58,48,1.92,ET,10800
198,kisangani,37,73.0,0.52,25.2,82,0.94,CD,7200
199,funadhoo,86,86.18,6.15,73.27,69,7.85,MV,18000
200,fayetteville,90,55.99,35.05,-78.88,87,20.8,US,-14400
201,lucea,40,89.01,18.45,-78.17,70,13.87,JM,-18000
202,bell ville,0,87.01,-32.63,-62.69,41,3.0,AR,-10800
203,faanui,99,81.86,-16.48,-151.75,77,21.47,PF,-36000
204,dumas,1,69.01,35.87,-101.97,51,8.05,US,-18000
205,talnakh,90,32.0,69.49,88.4,92,17.9,RU,25200
206,norman wells,90,30.2,65.28,-126.83,92,5.82,CA,-21600
207,cape town,75,61.0,-33.93,18.42,100,6.93,ZA,7200
208,qaqortoq,20,35.6,60.72,-46.03,31,5.82,GL,-7200
209,darnah,45,67.21,32.77,22.64,54,17.69,LY,7200
210,bethel,1,53.01,41.37,-73.41,42,9.17,US,-14400
211,sao joao do paraiso,94,73.35,-15.31,-42.01,61,6.06,BR,-10800
212,edson,1,59.0,53.58,-116.44,33,10.29,CA,-21600
213,sedalia,90,63.0,38.7,-93.23,42,10.29,US,-18000
214,vila franca do campo,20,62.6,37.72,-25.43,55,6.93,PT,0
215,sur,16,83.73,22.57,59.53,58,2.77,OM,14400
216,muzhi,97,33.62,65.37,64.67,94,3.09,RU,18000
217,kholm,71,35.26,59.27,32.85,86,4.56,RU,10800
218,moree,92,55.4,-29.47,149.85,66,5.82,AU,36000
219,ikungi,38,61.81,-5.13,34.77,64,2.98,TZ,10800
220,melfort,20,30.2,52.87,-104.62,46,10.29,CA,-21600
221,kitob,9,62.76,39.08,66.83,41,3.53,UZ,18000
222,kamaishi,48,49.26,39.27,141.88,80,10.27,JP,32400
223,michigan city,1,57.99,41.71,-86.89,54,6.93,US,-18000
224,koslan,85,33.3,63.46,48.9,87,1.63,RU,10800
225,saint anthony,90,55.99,45.02,-93.22,53,8.05,US,-18000
226,altagracia de orituco,87,91.83,9.86,-66.38,35,2.68,VE,-14400
227,clyde river,75,1.4,70.47,-68.59,77,3.6,CA,-14400
228,astoria,1,52.0,46.19,-123.83,81,5.82,US,-25200
229,axim,5,83.82,4.87,-2.24,75,8.77,GH,0
230,tautira,75,78.8,-17.73,-149.15,83,3.36,PF,-36000
231,letterkenny,0,60.8,54.95,-7.73,31,14.99,IE,3600
232,beloha,8,71.28,-25.17,45.05,73,17.07,MG,10800
233,orange walk,28,91.4,17.83,-88.83,66,6.93,BZ,-21600
234,saint george,1,68.0,37.1,-113.58,42,3.36,US,-21600
235,okhotsk,0,12.06,59.38,143.3,86,9.98,RU,36000
236,kango,78,73.85,0.19,10.1,90,1.61,GA,3600
237,gaoua,100,92.1,10.3,-3.25,36,1.74,BF,0
238,bida,66,92.61,9.08,6.02,39,6.55,NG,3600
239,toamasina,75,73.4,-18.17,49.38,94,16.11,MG,10800
240,sinnar,99,85.44,13.57,33.57,11,7.81,SD,7200
241,gamba,98,78.24,-2.65,10.0,83,14.58,GA,3600
242,weiser,1,61.0,44.25,-116.97,38,3.36,US,-21600
243,terrace bay,20,39.2,48.78,-87.1,74,6.93,CA,-14400
244,deputatskiy,99,9.7,69.3,139.9,90,4.92,RU,36000
245,tarakan,37,81.59,3.3,117.63,77,1.74,ID,28800
246,strathpeffer,0,60.8,57.59,-4.54,49,14.99,GB,3600
247,mackay,75,73.4,-21.15,149.2,94,3.36,AU,36000
248,biak,60,80.62,-0.91,122.88,73,3.85,ID,28800
249,la maddalena,75,60.8,41.21,9.41,93,11.41,IT,7200
250,moerai,1,78.39,-22.43,-151.33,76,22.57,PF,-36000
251,ust-kan,0,42.17,50.93,84.76,43,0.69,RU,25200
252,lichinga,2,59.0,-13.31,35.24,70,3.29,MZ,7200
253,broken hill,100,60.8,-31.95,141.43,59,5.82,AU,34200
254,bayshore gardens,20,81.0,27.43,-82.59,88,17.22,US,-14400
255,longyearbyen,20,23.0,78.22,15.64,62,27.51,SJ,7200
256,rafaela,0,88.0,-31.25,-61.49,26,1.01,AR,-10800
257,smithers,40,48.2,54.78,-127.17,61,3.87,CA,-25200
258,petropavlovsk-kamchatskiy,34,30.2,53.05,158.65,54,6.71,RU,43200
259,ambilobe,16,75.63,-13.2,49.05,78,8.66,MG,10800
260,coihaique,40,51.8,-45.58,-72.07,53,5.82,CL,-14400
261,kahului,0,72.0,20.89,-156.47,77,14.03,US,-36000
262,petrivka,18,53.6,46.97,30.96,25,11.18,UA,10800
263,kyra,7,17.35,49.58,111.98,73,7.49,RU,32400
264,muros,100,55.99,42.78,-9.06,90,3.0,ES,7200
265,hasaki,75,52.0,35.73,140.83,100,1.12,JP,32400
266,kikwit,89,75.18,-5.04,18.82,71,0.78,CD,3600
267,bambous virieux,75,75.2,-20.34,57.76,88,12.75,MU,14400
268,abu kamal,44,80.53,34.45,40.92,23,3.38,SY,10800
269,longyan,88,68.02,25.11,117.02,79,2.1,CN,28800
270,lata,96,57.99,40.16,-8.33,86,5.01,PT,3600
271,miyako,50,48.87,39.64,141.95,79,7.27,JP,32400
272,cap malheureux,75,75.2,-19.98,57.61,88,12.75,MU,14400
273,ilhabela,9,76.3,-23.78,-45.36,61,5.7,BR,-10800
274,contai,82,82.2,21.78,87.75,82,9.89,IN,19800
275,pagudpud,98,78.62,18.56,120.79,84,7.36,PH,28800
276,tubuala,40,91.99,9.52,-79.03,55,6.93,PA,-18000
277,mgandu,28,63.32,-5.95,34.13,63,4.14,TZ,10800
278,saint-joseph,63,77.0,-21.37,55.62,73,23.04,RE,14400
279,kasungu,25,63.82,-13.03,33.48,66,4.76,MW,7200
280,berlevag,40,37.4,70.86,29.09,64,32.21,NO,7200
281,fortuna,90,55.0,40.6,-124.16,87,3.36,US,-25200
282,karasjok,100,39.2,69.47,25.51,55,43.62,NO,7200
283,crixas,35,80.56,-14.55,-49.97,70,3.38,BR,-10800
284,geraldton,0,55.4,-28.77,114.6,82,8.05,AU,28800
285,miyazu,90,48.49,35.53,135.18,87,2.71,JP,32400
286,masyaf,24,69.8,35.07,36.34,73,6.93,SY,10800
287,kenora,75,30.2,49.82,-94.43,50,17.22,CA,-18000
288,charters towers,20,68.13,-20.1,146.27,66,4.43,AU,36000
289,comodoro rivadavia,20,59.0,-45.87,-67.5,41,9.17,AR,-10800
290,guerrero negro,88,65.62,27.98,-114.06,60,18.25,MX,-21600
291,lac du bonnet,65,32.0,50.25,-96.06,61,8.01,CA,-18000
292,santa rosa,20,84.2,14.31,121.11,70,5.82,PH,28800
293,santa cruz,20,93.2,-17.8,-63.17,41,8.05,BO,-14400
294,tiarei,75,78.8,-17.53,-149.33,83,3.36,PF,-36000
295,ponta do sol,8,64.99,32.67,-17.1,45,1.99,PT,3600
296,chuy,0,77.13,-33.7,-53.46,52,3.44,UY,-10800
297,vardo,75,37.4,70.37,31.11,64,24.16,NO,7200
298,ipixuna,75,86.0,-1.76,-48.8,70,5.82,BR,-10800
299,porto velho,40,87.8,-8.76,-63.9,66,4.7,BR,-14400
300,harper,89,83.17,4.38,-7.72,74,6.46,LR,0
301,nizhniy chir,100,43.83,48.36,43.09,83,9.73,RU,14400
302,lukovetskiy,40,35.6,64.3,41.92,80,2.24,RU,10800
303,saint-leu,65,77.0,-21.15,55.28,73,23.04,RE,14400
304,lavrentiya,100,15.39,65.58,-171.0,92,6.64,RU,43200
305,yar-sale,100,33.13,66.83,70.83,96,13.51,RU,18000
306,hualmay,11,76.21,-11.1,-77.61,61,9.35,PE,-18000
307,sola,73,81.7,-13.88,167.55,76,3.65,VU,39600
308,fare,100,82.24,-16.7,-151.02,77,20.65,PF,-36000
309,karpogory,81,30.56,64.0,44.45,97,3.13,RU,10800
310,gravdal,75,44.6,68.12,13.5,87,10.29,NO,7200
311,shatalovo,92,39.34,54.33,32.45,70,6.26,RU,10800
312,kavieng,28,83.48,-2.57,150.8,74,3.71,PG,36000
313,alofi,20,73.4,-19.06,-169.92,88,4.7,NU,-39600
314,guadalupe y calvo,85,73.15,26.1,-106.97,7,10.42,MX,-21600
315,abu samrah,56,71.98,35.3,37.18,37,7.38,SY,10800
316,veraval,0,78.57,20.9,70.37,75,12.15,IN,19800
317,pedernales,20,87.8,18.04,-71.74,58,17.22,DO,-14400
318,saint-denis,77,69.8,48.92,2.33,40,14.99,FR,7200
319,chimore,75,93.54,-16.98,-65.13,28,2.42,BO,-14400
320,tuatapere,60,39.99,-46.13,167.68,95,1.01,NZ,43200
321,fairbanks,90,37.99,64.84,-147.72,100,2.64,US,-28800
322,obersiggenthal,100,63.0,47.49,8.3,45,11.41,CH,7200
323,marawi,39,68.99,8.0,124.29,74,3.44,PH,28800
324,horsham,0,60.01,51.06,-0.33,44,24.16,GB,3600
325,saidpur,79,77.25,25.78,88.89,58,5.77,BD,21600
326,prince george,1,55.99,53.92,-122.75,53,13.87,CA,-25200
327,cidreira,0,74.8,-30.18,-50.21,62,6.46,BR,-10800
328,fernie,20,50.0,49.5,-115.07,53,3.36,CA,-21600
329,kalat,67,57.0,29.02,66.59,24,4.29,PK,18000
330,the valley,20,87.8,18.22,-63.06,58,13.87,AI,-14400
331,nome,90,30.99,64.5,-165.41,100,5.82,US,-28800
332,taltal,9,70.95,-25.4,-70.48,57,5.1,CL,-14400
333,dicabisagan,99,78.67,17.08,122.42,83,5.48,PH,28800
334,nouadhibou,0,69.24,20.93,-17.03,71,26.62,MR,0
335,alakurtti,100,32.31,66.97,30.35,88,6.38,RU,10800
336,goderich,0,48.99,43.75,-81.72,50,15.86,CA,-14400
337,ixtapa,5,78.8,20.7,-105.2,69,9.17,MX,-18000
338,ahipara,100,63.55,-35.17,173.17,91,5.32,NZ,43200
339,panguna,84,70.5,-6.32,155.48,79,0.85,PG,39600
340,vaasa,80,48.2,63.1,21.62,57,5.82,FI,10800
341,hanchuan,59,55.4,30.65,113.77,87,2.24,CN,28800
342,puerto carreno,75,82.4,6.19,-67.49,78,4.7,CO,-18000
343,saint-augustin,94,32.68,51.23,-58.65,95,4.74,CA,-14400
344,yatou,32,46.38,37.15,122.38,54,21.65,CN,28800
345,marsh harbour,77,84.02,26.54,-77.06,72,20.98,BS,-14400
346,boa vista,75,89.6,2.82,-60.67,55,12.75,BR,-14400
347,kruisfontein,7,62.31,-34.0,24.73,71,10.27,ZA,7200
348,peleduy,52,19.2,59.63,112.74,92,1.25,RU,32400
349,pacific grove,75,59.0,36.62,-121.92,72,6.93,US,-25200
350,quelimane,75,73.4,-17.88,36.89,94,9.17,MZ,7200
351,olga,100,38.5,43.74,135.29,92,6.85,RU,36000
352,kindu,85,73.24,-2.95,25.95,75,1.25,CD,7200
353,xining,100,36.99,36.62,101.77,35,4.79,CN,28800
354,balabac,19,83.88,7.99,117.06,77,11.03,PH,28800
355,mitsamiouli,1,83.55,-11.38,43.28,70,6.55,KM,10800
356,ceres,90,64.0,37.59,-120.96,62,4.7,US,-25200
357,beruwala,49,82.15,6.48,79.98,82,1.61,LK,19800
358,kalabo,97,72.16,-14.97,22.68,43,4.65,ZM,7200
359,klaksvik,0,48.2,62.23,-6.59,76,10.29,FO,3600
360,northam,25,60.01,51.03,-4.22,59,8.99,GB,3600
361,salinas,90,59.0,36.68,-121.66,87,4.7,US,-25200
362,cilaos,75,77.0,-21.13,55.47,69,14.99,RE,14400
363,lubao,75,82.4,14.92,120.55,78,2.24,PH,28800
364,nantucket,90,46.99,41.28,-70.1,70,20.8,US,-14400
365,flin flon,40,21.2,54.77,-101.86,48,16.11,CA,-18000
366,villanueva de la serena,79,50.0,38.98,-5.8,89,10.0,ES,7200
367,launceston,75,46.0,-41.45,147.17,81,6.93,AU,36000
368,coquimbo,75,60.8,-29.95,-71.34,87,6.93,CL,-14400
369,kaitangata,67,50.0,-46.28,169.85,83,1.01,NZ,43200
370,dehui,75,26.6,44.53,125.7,86,6.71,CN,28800
371,yerbogachen,9,24.33,61.28,108.01,92,4.38,RU,28800
372,ulaanbaatar,0,17.6,47.91,106.88,34,6.71,MN,28800
373,sao joao da barra,40,80.6,-21.64,-41.05,69,6.93,BR,-10800
374,gat,0,70.0,31.61,34.76,70,8.08,IL,10800
375,payo,42,75.13,-3.75,103.64,87,1.32,ID,25200
376,enkoping,1,59.0,59.64,17.08,38,6.93,SE,7200
377,tignere,100,71.29,7.37,12.65,55,2.44,CM,3600
378,mount gambier,90,50.0,-37.83,140.77,93,8.05,AU,34200
379,basco,25,78.57,20.45,121.97,80,3.78,PH,28800
380,garowe,73,83.8,8.41,48.48,52,16.13,SO,10800
381,waynesboro,1,62.01,38.07,-78.89,50,9.17,US,-14400
382,buchanan,75,86.0,5.88,-10.05,74,10.29,LR,0
383,enumclaw,0,60.01,47.2,-121.99,69,1.01,US,-25200
384,evensk,98,12.56,61.95,159.23,89,7.27,RU,39600
385,vestmannaeyjar,90,46.4,63.44,-20.27,93,20.8,IS,0
386,morwa,42,83.62,22.9,73.83,25,6.67,IN,19800
387,parintins,73,86.49,-2.63,-56.74,68,1.21,BR,-14400
388,terme,75,53.6,41.21,36.97,81,13.87,TR,10800
389,cap-aux-meules,20,41.0,47.38,-61.86,60,29.97,CA,-10800
390,cabedelo,75,84.2,-6.98,-34.83,74,16.11,BR,-10800
391,teeli,24,45.97,51.03,90.23,34,2.46,RU,25200
392,nevelsk,75,39.2,46.67,141.86,80,17.9,RU,39600
393,ginda,83,50.54,30.69,78.49,29,5.23,IN,19800
394,mandera,95,81.45,3.94,41.87,67,1.3,KE,10800
395,lodja,71,72.81,-3.48,23.43,76,0.94,CD,7200
396,bambanglipuro,100,80.6,-7.95,110.28,82,5.5,ID,25200
397,tilichiki,91,11.19,60.47,166.1,93,6.6,RU,43200
398,raudeberg,0,59.0,61.99,5.14,66,4.7,NO,7200
399,haines junction,100,40.51,60.75,-137.51,63,7.65,CA,-25200
400,lorengau,66,81.91,-2.02,147.27,75,1.9,PG,36000
401,ulladulla,54,57.2,-35.35,150.47,67,6.93,AU,36000
402,bereda,100,57.0,43.27,-7.54,90,5.01,ES,7200
403,tazmalt,75,66.2,36.39,4.4,63,20.8,DZ,3600
404,khalabat,40,69.01,34.06,72.89,68,4.7,PK,18000
